source,file_id,offset,original_text,translated_text
ELF,ELF,0x08A935,尻鼠柁万詑NOOEQAS点,
ELF,ELF,0x08A9BC,戎神U`苒d鵡P,
ELF,ELF,0x08A9EA,Э蛙濘p_,
ELF,ELF,0x08AA3D,概郭蛎伍研素蓄,
ELF,ELF,0x08AAF1,看縦卜,
ELF,ELF,0x08AB7F,旺鞄翰,
ELF,ELF,0x08AB87,崇然雄莱e,
ELF,ELF,0x08ABAB,〓慧冴浩自x,
ELF,ELF,0x08AC8E,蚋丑騏,
ELF,ELF,0x08AD3F,衰杢槿帙N,
ELF,ELF,0x08AE1B,劾濯漬,
ELF,ELF,0x08AF17,常愁遅QkX)YU\与,
ELF,ELF,0x08AF2D,娯纂仍p,
ELF,ELF,0x08AFE5,Т水亭\,
ELF,ELF,0x08B30F,蕉舟請O,
ELF,ELF,0x08B379,開絹脊,
ELF,ELF,0x08B381,偈徑抂N,
ELF,ELF,0x08B3AB,旧諺鯨,
ELF,ELF,0x08B463,序碇懋Y]r,
ELF,ELF,0x08B4C9,轄桟烈g,
ELF,ELF,0x08B606,閨*哨妨悄杼tAX冦/}^倅N6O軌,
ELF,ELF,0x08B635,覧枌洶ftk,
ELF,ELF,0x08B736,晒朦櫻,
ELF,ELF,0x08B81A,群渦讐漸轍媛鵬,
ELF,ELF,0x08B91E,週uT撒_TqTwTpT探{T,
ELF,ELF,0x08B986,涯欟{U~U篭朸,
ELF,ELF,0x08BB54,膽觴禺,
ELF,ELF,0x08BB92,圭曾能婪,
ELF,ELF,0x08BCF2,〜港軈チ啻Я嫣冒輿蛋,
ELF,ELF,0x08BD76,蚤啾蛎疎,
ELF,ELF,0x08BDD6,Ｃ叡~b鍛澱肪,
ELF,ELF,0x08BE2C,縦営歡,
ELF,ELF,0x08BECC,Ｆテ葛嫺歹,
ELF,ELF,0x08BF3A,瀁?f詛馭,
ELF,ELF,0x08BFC4,派拮嬋ド,
ELF,ELF,0x08C142,Ｍ考嗟〕嬪~lhlsl値人,
ELF,ELF,0x08C2B8,千華留,
ELF,ELF,0x08C2E8,体育祭,
ELF,ELF,0x08C2F0,プリンセスセミナー,
ELF,ELF,0x08C308,エピローグ,
ELF,ELF,0x08C320,お兄ちゃんエンド,
ELF,ELF,0x08C338,ノーマルエンド,
ELF,ELF,0x08E428,オープニング,
ELF,ELF,0x08E438,チュートリアル,
ELF,ELF,0x090630,聖ミアトル女学園４年月組在籍。,St. Miator 4to Año Cl. Luna.
ELF,ELF,0x09064F,素直で明るい元気な女の子。,Chica honesta y alegre.
ELF,ELF,0x09066A,割と慌てものでビックリすること,"Es asustadiza, y de la nada"
ELF,ELF,0x090689,があるとすぐパニックに＠,suele entrar en pánico.
ELF,ELF,0x0906B0,聖スピカ女学院３年アン組在籍。,St. Spica 3er Año Clase Un.
ELF,ELF,0x0906CF,おっとりとした性格の女の子。,Es una chica muy pacífica.
ELF,ELF,0x0906EC,美しい物を見たり聞いたりすると,Al ver cosas hermosas se
ELF,ELF,0x09070B,感動で頭がポーッとなっちゃう＠,emociona y queda embobada.
ELF,ELF,0x090730,聖ル・リム女学校２年Ｂ組在籍。,St. Lulim 2do Año Clase B.
ELF,ELF,0x09074F,幼いルックスのあどけない女の子。,Es muy inocente e infantil.
ELF,ELF,0x090770,幼さ故の大胆さと無邪気な笑顔が,Su atrevimiento y sonrisa son
ELF,ELF,0x09078F,魅力のひとつ＠,sus encantos.
ELF,ELF,0x0907A0,あなたは学園に編入する主人公の,Eres el hermano mayor de la
ELF,ELF,0x0907BF,兄として、妹の学園生活を垣間,alumna nueva. Podrás ver
ELF,ELF,0x0907DC,見ることができちゃいます＠,su vida en la escuela.
ELF,ELF,0x0907F7,★妹からメールが届いたり！？★,★¿Te enviará correos!?★
ELF,ELF,0x090820,あなたは学園に編入する主人公。,Eres la nueva alumna.
ELF,ELF,0x09083F,女の子しか居ない、乙女の園を,Podrás disfrutar de un
ELF,ELF,0x09085C,堪能することができちゃいます＠,jardín solo para chicas.
ELF,ELF,0x09087B,★秘密の日記が見れちゃう！？★,★¡Verás diarios secretos!★
ELF,ELF,0x090A00,ストロベリー・パニック！,
ELF,ELF,0x090AA0,メモリーカード(PS2)を,
ELF,ELF,0x090AB6,調べています。,
ELF,ELF,0x090AC5,抜き差ししないでください。,
ELF,ELF,0x090AE0,セーブデータを読み込み中です。,
ELF,ELF,0x090AFF,メモリーカード(PS2)を,
ELF,ELF,0x090B15,抜き差ししないで下さい。,
ELF,ELF,0x090B3B,差込口１に,
ELF,ELF,0x090B46,メモリーカード(PS2)が,
ELF,ELF,0x090B5C,正しく差し込まれていません。,
ELF,ELF,0x090B80,メモリーカード(PS2)の,
ELF,ELF,0x090B96,空き容量が不足しています。,
ELF,ELF,0x090BC0,セーブデータを読み込みました。,
ELF,ELF,0x090BE0,セーブデータが破損していました。,
ELF,ELF,0x090C10,ストロベリーパニック！の,
ELF,ELF,0x090C29,セーブデータを作成するには,
ELF,ELF,0x090C49,以上の空き容量が必要です。,
ELF,ELF,0x090C70,セーブデータの読み込みに,
ELF,ELF,0x090C89,失敗しました。,
ELF,ELF,0x090CA0,このまま開始しますか？,
ELF,ELF,0x090CB8,テクスチャ,
ELF,ELF,0x090CC8,モデル,
ELF,ELF,0x090CD0,フォント,
ELF,ELF,0x090CE0,メモカアイコン,
ELF,ELF,0x090D28,いいえ,
ELF,ELF,0x090D68,　天音のテーマ,
ELF,ELF,0x090D78,　夜々のテーマ,
ELF,ELF,0x090D88,　蕾のテーマ,
ELF,ELF,0x090DA0,　千華留のテーマ,
ELF,ELF,0x090DB8,　檸檬のテーマ,
ELF,ELF,0x090DC8,　籠女のテーマ,
ELF,ELF,0x090DD8,　静馬のテーマ,
ELF,ELF,0x090DE8,　玉青のテーマ,
ELF,ELF,0x090DF8,　千代のテーマ,
ELF,ELF,0x090E08,　光莉のテーマ,
ELF,ELF,0x090E18,　絆奈のテーマ,
ELF,ELF,0x090E28,　渚砂のテーマ,
ELF,ELF,0x090E38,　日常,
ELF,ELF,0x090E40,　百合１,
ELF,ELF,0x090E50,　百合２,
ELF,ELF,0x090E60,　コミカル,
ELF,ELF,0x090E70,　シリアス,
ELF,ELF,0x090E80,　おまけ,
ELF,ELF,0x090E90,　天使と悪魔１,
ELF,ELF,0x090EA0,　天使と悪魔２,
ELF,ELF,0x090EB0,　パニック１,
ELF,ELF,0x090EC0,　パニック２,
ELF,ELF,0x090EE0,　そばにいるよ,
ELF,ELF,0x091830,？？？？？？？？,
ELF,ELF,0x0918B0,システムデータは保存されません,
ELF,ELF,0x0918CF,保存しないで終了しますか？,
ELF,ELF,0x0918F0,ストロベリーパニック！の,
ELF,ELF,0x091909,セーブデータを作成するには,
ELF,ELF,0x091929,以上の空き容量が必要です。,
ELF,ELF,0x09195B,差込口１に,
ELF,ELF,0x091966,メモリーカード(PS2)が,
ELF,ELF,0x09197C,正しく差し込まれていません。,
ELF,ELF,0x0919A0,メモリーカード(PS2)の,
ELF,ELF,0x0919B6,空き容量が不足しています。,
ELF,ELF,0x0919E0,システムデータの読み込みに,
ELF,ELF,0x0919FB,失敗しました。,
ELF,ELF,0x091A10,システムデータの保存に,
ELF,ELF,0x091A27,失敗しました。,
ELF,ELF,0x091A40,メモリーカード(PS2)の,
ELF,ELF,0x091A56,フォーマットに失敗しました。,
ELF,ELF,0x091A80,メモリーカード(PS2)が,
ELF,ELF,0x091A96,フォーマットされていません。,
ELF,ELF,0x091AB3,フォーマットしてよろしいですか？,
ELF,ELF,0x091AE0,システムデータをセーブ中です。,
ELF,ELF,0x091AFF,メモリーカード(PS2)を,
ELF,ELF,0x091B15,抜き差ししないでください。,
ELF,ELF,0x091B30,フォーマットしています。,
ELF,ELF,0x091B49,メモリーカード(PS2)を,
ELF,ELF,0x091B5F,抜き差ししないでください。,
ELF,ELF,0x091B80,セーブデータをチェック中です。,
ELF,ELF,0x091B9F,メモリーカード(PS2)を,
ELF,ELF,0x091BB5,抜き差ししないでください。,
ELF,ELF,0x091BD0,メモリーカード(PS2)を,
ELF,ELF,0x091BE6,調べています。,
ELF,ELF,0x091BF5,抜き差ししないでください。,
ELF,ELF,0x091C10,システムデータを保存しますか？,
ELF,ELF,0x091C30,タイトルへ戻りますか？,
ELF,ELF,0x091CB0,クイックセーブします。,
ELF,ELF,0x091CC7,既にクイックセーブデータがある場合は、,
ELF,ELF,0x091CEE,上書きされてしまいます。,
ELF,ELF,0x091D10,クイックセーブしたデータから、,
ELF,ELF,0x091D2F,ゲームを再開します。,
ELF,ELF,0x091D50,ゲームデータの記録を行います。,
ELF,ELF,0x091D70,セーブしたゲームデータから、,
ELF,ELF,0x091D8D,ゲームを再開します。,
ELF,ELF,0x091DB0,ゲーム中に通ったテキストを読み直します。,
ELF,ELF,0x091DE0,ゲーム中の設定を変更します。,
ELF,ELF,0x091E00,ゲームを中断し、タイトル画面へ戻ります。,
ELF,ELF,0x091E30,サウンドに関する設定を行います。,
ELF,ELF,0x091E60,メッセージに関する設定を行います。,
ELF,ELF,0x091E90,音声に関する設定を行います。,
ELF,ELF,0x091EB0,メッセージウィンドウの設定を行います。,
ELF,ELF,0x091EE0,ゲーム中の特殊設定を行います。,
ELF,ELF,0x091F00,前の画面に戻ります。,
ELF,ELF,0x091F20,ゲーム中のBGMボリュームを設定します。,
ELF,ELF,0x091F50,ゲーム中のSEボリュームを設定します。,
ELF,ELF,0x091F80,ゲーム中のVOICEボリュームを設定します。,
ELF,ELF,0x091FB0,メッセージの表示速度を設定します。,
ELF,ELF,0x091FE0,メッセージスキップを行う対象を設定します。,
ELF,ELF,0x092010,一度読んだ文章の色を変えるかどうか設定します。,
ELF,ELF,0x092040,渚砂の音声を再生します。,
ELF,ELF,0x092060,静馬の音声を再生します。,
ELF,ELF,0x092080,玉青の音声を再生します。,
ELF,ELF,0x0920A0,千代の音声を再生します。,
ELF,ELF,0x0920C0,その他のキャラクターの音声を再生します。,
ELF,ELF,0x0920F0,光莉の音声を再生します。,
ELF,ELF,0x092110,天音の音声を再生します。,
ELF,ELF,0x092130,夜々の音声を再生します。,
ELF,ELF,0x092150,蕾の音声を再生します。,
ELF,ELF,0x092170,全てのキャラクターの音声を,
ELF,ELF,0x09218B,再生するようにします。,
ELF,ELF,0x0921B0,絆奈の音声を再生します。,
ELF,ELF,0x0921D0,千華留の音声を再生します。,
ELF,ELF,0x0921F0,檸檬の音声を再生します。,
ELF,ELF,0x092210,籠女の音声を再生します。,
ELF,ELF,0x092230,全てのキャラクターの音声を,
ELF,ELF,0x09224B,再生しないようにします。,
ELF,ELF,0x092270,渚砂の音声を再生しません。,
ELF,ELF,0x092290,静馬の音声を再生しません。,
ELF,ELF,0x0922B0,玉青の音声を再生しません。,
ELF,ELF,0x0922D0,千代の音声を再生しません。,
ELF,ELF,0x0922F0,その他のキャラクターの音声を再生しません。,
ELF,ELF,0x092320,光莉の音声を再生しません。,
ELF,ELF,0x092340,天音の音声を再生しません。,
ELF,ELF,0x092360,夜々の音声を再生しません。,
ELF,ELF,0x092380,蕾の音声を再生しません。,
ELF,ELF,0x0923A0,絆奈の音声を再生しません。,
ELF,ELF,0x0923C0,千華留の音声を再生しません。,
ELF,ELF,0x0923E0,檸檬の音声を再生しません。,
ELF,ELF,0x092400,籠女の音声を再生しません。,
ELF,ELF,0x092420,メッセージウィンドウ内のカラーを設定します。,
ELF,ELF,0x092450,メッセージウィンドウ内の透明度を設定します。,
ELF,ELF,0x092480,画面効果のあり、なしを設定します。,
ELF,ELF,0x0924B0,振動機能のあり、なしを設定します。,
ELF,ELF,0x0924E0,システムボイスのキャラクターを設定します。,
ELF,ELF,0x092510,選択肢で表示されるキャラクターアイコンの,
ELF,ELF,0x092539,あり、なしを設定します。,
ELF,ELF,0x092560,ゲームメニューに戻ります。,
ELF,ELF,0x092580,タイトル画面へ戻ります。,
ELF,ELF,0x0925E8,×静馬,
ELF,ELF,0x0925F0,×千代,
ELF,ELF,0x0925F8,×玉青,
ELF,ELF,0x092600,×天音,
ELF,ELF,0x092610,×夜々,
ELF,ELF,0x092618,×千華留,
ELF,ELF,0x092628,×籠女,
ELF,ELF,0x092630,×檸檬,
ELF,ELF,0x092751,プレイデータがありません。,
ELF,ELF,0x0927A0,選択したプレイデータで,
ELF,ELF,0x0927B7,ゲームを開始しますか？,
ELF,ELF,0x0927D0,ロードを終了しますか？,
ELF,ELF,0x0927F0,セーブを終了しますか？,
ELF,ELF,0x092810,ストロベリーパニック！の,
ELF,ELF,0x092829,セーブデータを作成するには,
ELF,ELF,0x092849,以上の空き容量が必要です。,
ELF,ELF,0x09287B,差込口１に,
ELF,ELF,0x092886,メモリーカード(PS2)が,
ELF,ELF,0x09289C,正しく差し込まれていません。,
ELF,ELF,0x0928C0,メモリーカード(PS2)の,
ELF,ELF,0x0928D6,空き容量が不足しています。,
ELF,ELF,0x092900,セーブデータの読み込みに,
ELF,ELF,0x092919,失敗しました。,
ELF,ELF,0x092930,セーブデータを保存しました。,
ELF,ELF,0x092950,メモリーカード(PS2)が,
ELF,ELF,0x092966,フォーマットされていません。,
ELF,ELF,0x092983,フォーマットしてセーブしますか？,
ELF,ELF,0x0929B0,セーブデータの保存に,
ELF,ELF,0x0929C5,失敗しました。,
ELF,ELF,0x0929E0,メモリーカード(PS2)の,
ELF,ELF,0x0929F6,フォーマットに失敗しました。,
ELF,ELF,0x092A20,セーブデータを保存しています。,
ELF,ELF,0x092A3F,メモリーカード(PS2)を,
ELF,ELF,0x092A55,抜き差ししないでください。,
ELF,ELF,0x092A70,既にプレイデータが存在します。,
ELF,ELF,0x092A8F,上書きになりますが,
ELF,ELF,0x092AA2,よろしいですか？,
ELF,ELF,0x092AC0,フォーマットしています。,
ELF,ELF,0x092AD9,メモリーカード(PS2)を,
ELF,ELF,0x092AEF,抜き差ししないでください。,
ELF,ELF,0x092B10,セーブデータが破損していました。,
ELF,ELF,0x092B40,セーブデータをチェック中です。,
ELF,ELF,0x092B5F,メモリーカード(PS2)を,
ELF,ELF,0x092B75,抜き差ししないでください。,
ELF,ELF,0x092BC0,メモリーカード(PS2)を,
ELF,ELF,0x092BD6,調べています。,
ELF,ELF,0x092BE5,抜き差ししないで下さい。,
ELF,ELF,0x092D28,？？？,
ELF,ELF,0x092FC0,システムデータは保存されません,
ELF,ELF,0x092FDF,保存しないで終了しますか？,
ELF,ELF,0x093000,ストロベリーパニック！の,
ELF,ELF,0x093019,セーブデータを作成するには,
ELF,ELF,0x093039,以上の空き容量が必要です。,
ELF,ELF,0x09306B,差込口１に,
ELF,ELF,0x093076,メモリーカード(PS2)が,
ELF,ELF,0x09308C,正しく差し込まれていません。,
ELF,ELF,0x0930B0,メモリーカード(PS2)の,
ELF,ELF,0x0930C6,空き容量が不足しています。,
ELF,ELF,0x0930F0,システムデータの読み込みに,
ELF,ELF,0x09310B,失敗しました。,
ELF,ELF,0x093120,システムデータの保存に,
ELF,ELF,0x093137,失敗しました。,
ELF,ELF,0x093150,メモリーカード(PS2)の,
ELF,ELF,0x093166,フォーマットに失敗しました。,
ELF,ELF,0x093190,メモリーカード(PS2)が,
ELF,ELF,0x0931A6,フォーマットされていません。,
ELF,ELF,0x0931C3,フォーマットしてよろしいですか？,
ELF,ELF,0x0931F0,システムデータをセーブ中です。,
ELF,ELF,0x09320F,メモリーカード(PS2)を,
ELF,ELF,0x093225,抜き差ししないでください。,
ELF,ELF,0x093240,フォーマットしています。,
ELF,ELF,0x093259,メモリーカード(PS2)を,
ELF,ELF,0x09326F,抜き差ししないでください。,
ELF,ELF,0x093290,セーブデータをチェック中です。,
ELF,ELF,0x0932AF,メモリーカード(PS2)を,
ELF,ELF,0x0932C5,抜き差ししないでください。,
ELF,ELF,0x0932E0,メモリーカード(PS2)を,
ELF,ELF,0x0932F6,調べています。,
ELF,ELF,0x093305,抜き差ししないでください。,
ELF,ELF,0x093320,システムデータを保存しますか？,
